,Title,Location,Security,Garage,Concierge,Price,City,Currency,Nmbr_rooms,Nmbr_pieces,Nmbr_bathrooms,Type,Surface
163,Luxueux appartement en vente sur le haut agdal,Haut Agdal ,0,0,0,3400000.0,Rabat,DH,3,5,3,Bon état,187
164,Un Joli Appartement à vendre sur Agdal,Agdal ,0,0,0,1800000.0,Rabat,DH,2,3,1,Bon état,77
165,Appartement à vendre,Diour Jamaa ,0,0,0,1760000.0,Rabat,DH,3,5,2,Nouveau,147
166,Appartement à vendre,Haut Agdal ,0,0,0,2550000.0,Rabat,DH,4,6,2,Bon état,174
167,Appartement à vendre,Riyad ,0,0,0,3200000.0,Rabat,DH,3,5,2,Nouveau,156
168,Appartement à vendre,Riyad ,0,0,0,3400000.0,Rabat,DH,3,5,3,Nouveau,153
169,A vendre villa d excellence neuve sur l'Orangeraie,Souissi ,0,0,0,13000000.0,Rabat,DH,6,12,7,Nouveau,800
170,Bel appartement avec terrasse sur Hay riad,Riyad ,0,0,0,2700000.0,Rabat,DH,3,5,2,Bon état,140
171,Un magnifique Appartement à vendre sur Hassan,Hassan - Centre Ville ,0,0,0,1050000.0,Rabat,DH,1,2,1,Bon état,70
172,Appartement bien situé à vendre,Riyad ,0,0,0,2500000.0,Rabat,DH,3,5,2,Bon état,130
173,Appartement à vendre de 127m² sur Agdal,Agdal ,0,0,0,2200000.0,Rabat,DH,3,5,2,Bon état,127
174,Appartement avec belle cour bien situé à Agdal,Haut Agdal ,0,0,0,2200000.0,Rabat,DH,3,4,2,Bon état,145
175,"Appartement de 75m² avec terrasse en vente, Résidence Aicha",Kébibat ,0,0,0,,Rabat,,2,3,2,Bon état,75
176,Un Bel Appartement à vendre sur Hassan,Diour Jamaa ,0,0,0,1400000.0,Rabat,DH,2,3,1,Bon état,95
177,Vente d'un bel appartement à Hay Al Massira. 2 pièces confortables,Hay Al Massira ,0,0,0,,Rabat,,1,2,1,Nouveau,84
178,Joli duplex à Vendre Sur Hay Riad,Riyad ,0,0,0,2600000.0,Rabat,DH,3,5,2,Bon état,141
179,Très bel appartement à vendre à Hassan,Hassan - Centre Ville ,0,0,0,1050000.0,Rabat,DH,1,2,1,Nouveau,43
180,Bel appartement à vendre en Hassan Centre Ville. Superficie 96 m². Fenêtres avec double vitrage et porte blindée,Hassan - Centre Ville ,0,0,0,1700000.0,Rabat,DH,2,3,2,Bon état,96
181,"Vente villa de luxe à Souissi. Surface de 2000 m². Salon Marocain, sécurité.",Souissi ,0,0,0,,Rabat,,7,10,5,Bon état,2000
182,Joli Appartement de trois pièces à vendre,Hay Al Fath ,0,0,0,640000.0,Rabat,DH,2,3,1,Bon état,60
184,Appartement de 3 chambres à hay El fath,Hay Al Fath ,0,0,0,1650000.0,Rabat,DH,3,4,2,Bon état,115
185,Luxueux Appartement en vente sur le haut agdal,Haut Agdal ,0,0,0,4300000.0,Rabat,DH,3,6,3,Nouveau,202
186,Bel appartement à vendre à Agdal. Superficie 86 m²,Agdal ,0,0,0,1400000.0,Rabat,DH,1,3,2,Bon état,86
187,Vend appartement à Agdal. 4 pièces confortables,Agdal ,0,0,0,2000000.0,Rabat,DH,2,4,2,Bon état,137
188,Appartement à vendre à Agdal. 4 pièces confortables,Agdal ,0,0,0,2700000.0,Rabat,DH,3,4,2,Bon état,228
189,Bel appartement à vendre à Aviation Mabella. 5 pièces confortables. Ascenseur et stationnement,Aviation - Mabella ,0,0,1,2050000.0,Rabat,DH,3,5,3,Bon état,127
190,Studio à vendre,Hassan - Centre Ville ,0,0,0,970000.0,Rabat,DH,1,1,1,Nouveau,45
191,Bel appartement à vendre à Agdal. 3 belles chambres. Parking et terrasse,Agdal ,0,0,0,2700000.0,Rabat,DH,3,7,2,Bon état,180
192,Appartement en vente à Agdal. 2 chambres,Agdal ,0,0,0,1050000.0,Rabat,DH,2,3,2,À rénover,87
